,count,CPM,RPKM
15S_rRNA_BY4742,17,0.4096203828644614,0.24840532617614394
21S_rRNA_BY4742,144,3.4697255960283786,0.7816457751809819
HRA1_BY4742,146,3.5179162293065507,6.237440122883955
ICR1_BY4742,407,9.806793872107987,3.065581079120971
LSR1_BY4742,1626,39.17898485515377,33.34381689800321
NME1_BY4742,102,2.4577222971867685,7.228594991725789
PWR1_BY4742,81,1.951720647765963,2.0740920805164325
RDN18-1_BY4742,0,0.0,0.0
RDN18-2_BY4742,0,0.0,0.0
RDN25-1_BY4742,0,0.0,0.0
RDN25-2_BY4742,0,0.0,0.0
RDN37-1_BY4742,0,0.0,0.0
RDN37-2_BY4742,0,0.0,0.0
RDN5-1_BY4742,25,0.6023829159771491,4.97837120642272
RDN5-2_BY4742,0,0.0,0.0
RDN5-3_BY4742,0,0.0,0.0
RDN5-4_BY4742,0,0.0,0.0
RDN5-5_BY4742,0,0.0,0.0
RDN5-6_BY4742,0,0.0,0.0
RDN58-1_BY4742,0,0.0,0.0
RDN58-2_BY4742,0,0.0,0.0
RNA170_BY4742,18,0.4337156995035473,2.5663650858198066
RPM1_BY4742,5,0.12047658319542982,0.24943391965927497
RPR1_BY4742,123,2.963723946607573,8.031772213028654
RUF20_BY4742,626,15.083668216067812,34.048912451620346
RUF21_BY4742,121,2.9155333133294015,4.123809495515419
RUF22_BY4742,2,0.04819063327817192,0.09357404520033384
RUF23_BY4742,18,0.4337156995035473,1.707542124029714
RUF5-1_BY4742,0,0.0,0.0
RUF5-2_BY4742,0,0.0,0.0
SCR1_BY4742,388,9.348982855965355,17.909928842845506
SRG1_BY4742,3265,78.67120882661567,142.77896338768724
TLC1_BY4742,1165,28.071043884535143,21.576513362440544
__alignment_not_unique,0,0.0,
__ambiguous,123,2.963723946607573,
__no_feature,35660496,859250.9426268584,
__not_aligned,1465575,35313.49368332841,
__too_low_aQual,4356733,104976.86114695489,
snR10_BY4742,136,3.276963062915691,13.375359440472208
snR11_BY4742,1825,43.97395286633188,170.44167777648016
snR128_BY4742,22,0.5300969660598912,4.207118778253105
snR13_BY4742,11,0.2650484830299456,2.137487766370529
snR14_BY4742,49,1.1806705153152122,7.379190720720076
snR161_BY4742,5,0.12047658319542982,0.7483017589778249
snR17a_BY4742,296,7.132213725169445,14.55553821463152
snR17b_BY4742,21,0.5060016494208052,1.0952416654129984
snR189_BY4742,7,0.16866721647360175,0.8924191347809616
snR18_BY4742,210,5.060016494208052,49.60800484517698
snR190_BY4742,60,1.4457189983451577,7.609047359711356
snR191_BY4742,19,0.4578110161426333,1.6708431246081508
snR19_BY4742,660,15.902908981796735,27.99807919330411
snR24_BY4742,73,1.7589581146532753,19.763574321946912
snR30_BY4742,294,7.0840230918912725,11.689807082328834
