gene,count,CPM,RPKM
15S_rRNA_BY4742,4,340.39656199472387,206.42605336247655
21S_rRNA_BY4742,26,2212.577652965705,498.4405616052501
HRA1_BY4742,161,13700.961620287635,24292.485142353962
ICR1_BY4742,400,34039.65619947238,10640.717786643447
LSR1_BY4742,226,19232.4057527019,16368.004895916509
NME1_BY4742,57,4850.651008424815,14266.620613014162
PWR1_BY4742,96,8169.517487873373,8681.740157144923
RDN18-1_BY4742,0,0.0,0.0
RDN18-2_BY4742,0,0.0,0.0
RDN25-1_BY4742,0,0.0,0.0
RDN25-2_BY4742,0,0.0,0.0
RDN37-1_BY4742,0,0.0,0.0
RDN37-2_BY4742,0,0.0,0.0
RDN5-1_BY4742,129,10977.789124329845,90725.52995313921
RDN5-2_BY4742,0,0.0,0.0
RDN5-3_BY4742,0,0.0,0.0
RDN5-4_BY4742,0,0.0,0.0
RDN5-5_BY4742,0,0.0,0.0
RDN5-6_BY4742,1,85.09914049868097,703.2986818072807
RDN58-1_BY4742,0,0.0,0.0
RDN58-2_BY4742,0,0.0,0.0
RNA170_BY4742,41,3489.0647604459195,20645.35361210603
RPM1_BY4742,0,0.0,0.0
RPR1_BY4742,18,1531.7845289762574,4151.177585301511
RUF20_BY4742,406,34550.25104246447,77991.53734190625
RUF21_BY4742,83,7063.22866139052,9990.4224347815
RUF22_BY4742,3,255.29742149604292,495.7231485360056
RUF23_BY4742,20,1701.9828099736194,6700.719724305588
RUF5-1_BY4742,0,0.0,0.0
RUF5-2_BY4742,0,0.0,0.0
SCR1_BY4742,158,13445.664198791592,25757.97739232106
SRG1_BY4742,1917,163135.0523359714,296070.8753828882
TLC1_BY4742,1357,115479.53365671007,88762.13194212918
snR10_BY4742,136,11573.483107820612,47238.70656253311
snR11_BY4742,847,72078.97200238278,279375.86047435185
snR128_BY4742,16,1361.5862479788955,10806.240063324567
snR13_BY4742,20,1701.9828099736194,13725.667822367897
snR14_BY4742,30,2552.9742149604285,15956.08884350268
snR161_BY4742,11,936.0905454854907,5814.226990593109
snR17a_BY4742,257,21870.479108161006,44633.630832981646
snR17b_BY4742,17,1446.6853884775765,3131.353654713369
snR189_BY4742,16,1361.5862479788955,7204.160042216377
snR18_BY4742,139,11828.780529316653,115968.43656192799
snR190_BY4742,18,1531.7845289762574,8062.023836717144
snR191_BY4742,22,1872.1810909709814,6832.777704273654
snR19_BY4742,131,11147.987405327205,19626.738389660575
snR24_BY4742,71,6042.038975406348,67888.07837535223
snR30_BY4742,291,24763.84988511616,40864.438754317096
snR31_BY4742,236,20083.39715768871,89259.54292306092
snR32_BY4742,41,3489.0647604459195,18558.85510875489
snR33_BY4742,271,23061.86707514254,126021.13155815596
snR34_BY4742,49,4169.857884435367,20541.171844509197
snR35_BY4742,90,7658.922644881287,37543.73845530042
snR36_BY4742,83,7063.22866139052,38808.9486889589
snR37_BY4742,52,4425.15530593141,11464.132916920751
snR38_BY4742,21,1787.0819504723004,18811.388952340003
snR39B_BY4742,16,1361.5862479788955,14183.190083113494
snR39_BY4742,93,7914.22006637733,88923.82097053179
snR3_BY4742,30,2552.9742149604285,13159.66090185788
snR40_BY4742,12,1021.1896859841717,10527.728721486304
snR41_BY4742,59,5020.849289422177,52851.04515181239
snR42_BY4742,80,6807.931239894478,19395.815498274864
snR43_BY4742,136,11573.483107820612,55375.517262299574
snR44_BY4742,189,16083.737554250702,76226.24433294171
snR45_BY4742,33,2808.271636456472,16327.16067707251
snR46_BY4742,131,11147.987405327205,56588.768554960436
snR47_BY4742,15,1276.4871074802143,12893.809166466812
snR48_BY4742,10,850.9914049868097,7530.897389263802
snR49_BY4742,53,4510.254446430091,27334.87543290964
snR4_BY4742,316,26891.328397583184,144577.03439560853
snR50_BY4742,13,1106.2888264828525,12292.098072031695
snR51_BY4742,23,1957.280231469662,18292.338611866002
snR52_BY4742,1,85.09914049868097,924.9906575943583
snR53_BY4742,3,255.29742149604292,2805.4661702861854
snR54_BY4742,43,3659.2630414432815,42549.57024934048
snR55_BY4742,16,1361.5862479788955,13893.737224274442
snR56_BY4742,8,680.7931239894477,7736.285499880088
snR57_BY4742,17,1446.6853884775765,16439.606687245185
snR58_BY4742,12,1021.1896859841717,10637.39256233512
snR59_BY4742,49,4169.857884435367,53459.716467120095
snR5_BY4742,22,1872.1810909709814,9177.358289073438
snR60_BY4742,14,1191.3879669815333,11455.653528668592
snR61_BY4742,13,1106.2888264828525,12292.098072031695
snR62_BY4742,60,5105.948429920857,51059.484299208576
snR63_BY4742,60,5105.948429920857,20023.327176160226
snR64_BY4742,10,850.9914049868097,8425.657475116926
snR65_BY4742,16,1361.5862479788955,13615.862479788953
snR66_BY4742,39,3318.8664794485576,38591.4706912623
snR67_BY4742,11,936.0905454854907,11415.738359579154
